ProductCode,Product,Category,Subcategory
P000001,Soap & Glory Endless Glove Moisturizing Hand Cream,Body care,"bath oils, bubbles and soaks"
P000002,Pantene Pro-V Truly Relaxed Hair Lightweight Conditioner,Body care,"bath oils, bubbles and soaks"
P000003,Estée Lauder Pure Color Envy Irresistible,Body care,"bath oils, bubbles and soaks"
P000004,Gold Infinity Bracelet,Body care,body moisturizers
P000005,Deborah Lippmann Nail Polish Lady is a Tramp Classic Red,Body care,body moisturizers
P000006,Urban Decay Vice Lipstick Rock Steady,Body care,Body soaps and washes
P000007,Neutrogena Bright Boost Gel Cream,Body care,face masks and exfoliators
P000008,LUSH Sex Bomb Bath Bomb,Body care,face masks and exfoliators
P000009,Diptyque Santal 26 Candle,Body care,face masks and exfoliators
P000010,MAC ColorStay Foundation,Body care,hand creams
P000011,Clinique Sculptwear Contouring Massage Cream Mask,Body care,hand creams
P000012,Garnier SkinActive Ultra-Lift Miracle Sleeping Cream,Body care,hand creams
P000013,Eucerin Advanced Repair Cream,Body care,Nail care products
P000014,Boscia Matcha Magic Super-Antioxidant Mask,Body care,Nail care products
P000015,Maybelline Unstoppable Eyeliner Pewter Grey,Body care,Nail care products
P000016,"L'Oréal Paris Colour Riche Nail Color Charmed, I’m Sure Shimmering Red",Body care,Nail care products
P000017,Golden Blossom Pendant,Body care,Nail care products
P000018,Charlotte Tilbury Pro Filt'r Foundation,Body care,Nail care products
P000019,Sanctuary Spa White Lily & Damask Rose Bath Soak,Body care,vitamins and supplements
P000020,Deborah Lippmann Gel Lab Pro Fashion Warm Beige,Body care,vitamins and supplements
P000021,John Frieda Precision Foam Colour - Dark Chocolate Brown,Face care,face moisturizing products
P000022,O'Keeffe's Working Hands Hand Cream with Pump,Face care,face moisturizing products
P000023,Lush Helping Hands Hand Cream,Face care,face moisturizing products
P000024,MAC Eye Shadow Sketch Burgundy,Face care,face moisturizing products
P000025,BareMinerals Quick Change Brush Cleaner,Hair care,hair colors and toners
P000026,Aveeno Positively Radiant Overnight Hydrating Facial Moisturizer,Hair care,hair colors and toners
P000027,China Glaze Nail Lacquer For Audrey Tiffany Blue,Hair care,hair colors and toners
P000028,Hermès Terre d'Hermès,Hair care,hair colors and toners
P000029,Bobbi Brown Stay Naked Foundation,Hair care,hair colors and toners
P000030,Tata Harper Resurfacing Mask,Hair care,hair colors and toners
P000031,Too Faced Pro Filt'r Foundation,Hair care,shampoos and conditioners
P000032,La Mer Reparative Hand Treatment,Hair care,shampoos and conditioners
P000033,REN Clean Skincare Moroccan Rose Otto Bath Oil,Hair care,shampoos and conditioners
P000034,Garnier Nutrisse Nourishing Hair Color Creme - Natural Blue Black,Hair care,shampoos and conditioners
P000035,Softsoap Black Orchid & Velvet Hibiscus Body Wash,Home and Accessories,Accessories
P000036,Sephora Collection PRO Tapered Crease Brush #19,Home and Accessories,Accessories
P000037,Molton Brown Tobacco Absolute Bath & Shower Gel,Home and Accessories,Accessories
P000038,Neutrogena Norwegian Formula Fast Absorbing Hand Cream,Home and Accessories,Accessories
P000039,OPI Nail Lacquer Got the Blues for Red Deep Burgundy,Home and Accessories,Accessories
P000040,Pantene Pro-V Daily Moisture Renewal 3 Minute Miracle Conditioner,Home and Accessories,brushes and applicators
P000041,Garnier Fructis Triple Nutrition Shampoo,Home and Accessories,brushes and applicators
P000042,Butter London Nail Lacquer No More Waity Katie Lilac with Glitter,Home and Accessories,brushes and applicators
P000043,Nature Made Omega-3 Fish Oil,Home and Accessories,brushes and applicators
P000044,Diptyque French Cade Lavender Candle,Home and Accessories,"candles, sprays, diffusers"
P000045,Dove Purely Pampering Coconut Milk Body Wash,Home and Accessories,"candles, sprays, diffusers"
P000046,Tom Ford Lip Color Scarlet Rouge,Home and Accessories,fragrances
P000047,CND Vinylux Weekly Polish Field Fox Cool Beige,Home and Accessories,fragrances
P000048,Rituals The Ritual of Sakura Bath Foam,Home and Accessories,fragrances
P000049,NARS Single Eyeshadow Persia Matte Paprika,Make up,Eye shadows and pencils
P000050,Maison Margiela REPLICA Lazy Sunday Morning Candle,Make up,Eye shadows and pencils
P000051,Gold Bond Ultimate Protection Hand Cream,Make up,Eye shadows and pencils
P000052,Head & Shoulders Clinical Strength Dandruff Conditioner,Make up,Eye shadows and pencils
P000053,Optimum Nutrition Prenatal Multivitamin,Make up,foundations and concealers
P000054,Charlotte Tilbury Flawless Fusion Ultra-Longwear Foundation,Make up,foundations and concealers
P000055,NYX Slide On Glide On Pencil Glitzy Gold,Make up,Lipsticks
P000056,CND Vinylux Weekly Polish Cobalt Blue Bold Blue,Body care,Body soaps and washes
P000057,Caress Love Forever Body Wash,Body care,Body soaps and washes
P000058,Matrix Biolage Fiberstrong Conditioner,Body care,hand creams
P000059,Urban Decay Eyeshadow Half Baked Golden Bronze,Body care,Nail care products
P000060,Silver Enchantment Anklet,Body care,Nail care products
P000061,L'Oréal Infallible 24HR Eyeshadow Amber Rush,Hair care,hair colors and toners
P000062,Clairol Nice'n Easy Permanent Hair Color - Light Warm Brown,Hair care,shampoos and conditioners
P000063,Lush Dream Cream Hand & Body Lotion,Hair care,shampoos and conditioners
P000064,Tarte The Buffer Airbrush Finish Bamboo Foundation Brush,Hair care,shampoos and conditioners
P000065,Caress Daily Silk White Peach & Silky Orange Blossom Body Wash,Home and Accessories,brushes and applicators
P000066,L'Oréal Double Wear Foundation,Home and Accessories,brushes and applicators
P000067,Yankee Candle French Cade Lavender Candle,Make up,Eye shadows and pencils
P000068,Neal's Yard Remedies Seaweed & Arnica Foaming Bath,Make up,Eye shadows and pencils
P000069,Paddywax Lavender Vanilla Candle,Make up,Eye shadows and pencils
P000070,Sterling Vine Anklet,Make up,foundations and concealers
P000071,TRESemmé Smooth & Silky Conditioner,Make up,foundations and concealers
P000072,Orly Nail Lacquer Fancy Fuchsia Bright Fuchsia,Body care,"bath oils, bubbles and soaks"
P000073,Jo Malone Black Forest Candle,Body care,"bath oils, bubbles and soaks"
P000074,Real Techniques Powder Brush,Body care,"bath oils, bubbles and soaks"
P000075,L'Oréal Paris Preference - Light Golden Brown,Body care,"bath oils, bubbles and soaks"
P000076,Revlon Nail Enamel Emerald City Matte Green,Body care,"bath oils, bubbles and soaks"
P000077,Garnier Fructis Damage Eraser Shampoo,Body care,"bath oils, bubbles and soaks"
P000078,Deborah Lippmann Nail Polish Cleopatra in New York Black with Gold Glitter,Body care,"bath oils, bubbles and soaks"
P000079,Real Techniques Setting Brush,Body care,"bath oils, bubbles and soaks"
P000080,Capri Blue Russian Leather Candle,Body care,"bath oils, bubbles and soaks"
P000081,Essie Nail Polish Sole Mate Rich Plum,Body care,"bath oils, bubbles and soaks"
P000082,OPI Nail Lacquer My Chihuahua Bites Hot Red,Body care,body moisturizers
P000083,Maybelline Lasting Drama Gel Eyeliner Lustrous Sapphire,Body care,body moisturizers
P000084,Boy Smells Russian Leather Candle,Body care,body moisturizers
P000085,Solgar Zinc Tablets,Body care,body moisturizers
P000086,Orly Nail Lacquer Luxe Gold Foil,Body care,body moisturizers
P000087,Nivea Powerfruit Refreshing Shower Gel,Body care,body moisturizers
P000088,Golden Pearl Brooch,Body care,body moisturizers
P000089,L'Oréal Paris Preference - Deep Chestnut Brown,Body care,body moisturizers
P000090,Zoya Nail Polish Jacqueline Soft Cream,Body care,body moisturizers
P000091,L'Oréal Paris Colour Riche Nail Color Not a Cloud in Sight Turquoise,Body care,body moisturizers
P000092,Olay Cooling White Strawberry & Mint Body Wash,Body care,body moisturizers
P000093,Rosemary & Herbs Shampoo,Body care,body moisturizers
P000094,Neutrogena Fast Absorbing Hand Cream,Body care,body moisturizers
P000095,Anastasia Beverly Hills Brow Definer Dark Brown,Body care,Body soaps and washes
P000096,Le Petit Marseillais Extra Gentle Shower Crème,Body care,Body soaps and washes
P000097,MegaFood Calcium Gummies,Body care,Body soaps and washes
P000098,Herbal Essences Shine Collection Brilliance Conditioner,Body care,Body soaps and washes
P000099,MAC Ruby Woo Red,Body care,Body soaps and washes
P000100,CND Vinylux Weekly Polish Tartan Punk Bold Red,Body care,Body soaps and washes
P000101,Nordic Naturals Zinc Tablets,Body care,Body soaps and washes
P000102,Olay Regenerist Micro-Sculpting Cream Fragrance-Free,Body care,Body soaps and washes
P000103,IT Cosmetics Heavenly Luxe Plush Paddle Foundation Brush,Body care,Body soaps and washes
P000104,OGX Quenching + Coconut Curls Conditioner,Body care,Body soaps and washes
P000105,Estée Lauder Pure Color Envy Irresistible,Body care,face masks and exfoliators
P000106,Mrs. Meyer's Grapefruit Candle,Body care,face masks and exfoliators
P000107,Herbivore Botanicals Brighten Instant Glow Mask,Body care,face masks and exfoliators
P000108,One A Day Calcium Gummies,Body care,face masks and exfoliators
P000109,Drunk Elephant Umbra Sheer Physical Daily Defense SPF 30,Body care,face masks and exfoliators
P000110,TRESemmé Flawless Curls Conditioner,Body care,hand creams
P000111,La Mer The Hydrating Illuminator,Body care,hand creams
P000112,The White Company Noir Bath & Shower Gel,Body care,hand creams
P000113,Bamford B Silent Night-Time Bath Concentrate,Body care,hand creams
