RegionCode,City,State,Country,Countrylatitude,Countrylongitude,Region,Market
R0001,Jalalabad,Nangarhar,Afghanistan,33.93911,67.709953,Southern Asia,Asia Pacific
R0002,Herat,Hirat,Afghanistan,33.93911,67.709953,Southern Asia,Asia Pacific
R0003,Kabul,Kabul,Afghanistan,33.93911,67.709953,Southern Asia,Asia Pacific
R0004,Kandahar,Kandahar,Afghanistan,33.93911,67.709953,Southern Asia,Asia Pacific
R0005,Elbasan,Elbasan,Albania,41.153332,20.168331,Southern Europe,Europe
R0006,Vlore,Vlorë,Albania,41.153332,20.168331,Southern Europe,Europe
R0007,Korce,Korçë,Albania,41.153332,20.168331,Southern Europe,Europe
R0008,Durres,Durrës,Albania,41.153332,20.168331,Southern Europe,Europe
R0009,Shkoder,Shkodër,Albania,41.153332,20.168331,Southern Europe,Europe
R0010,Batna,Batna,Algeria,28.033886,1.659626,North Africa,Africa
R0011,Boghni,Tizi Ouzou,Algeria,28.033886,1.659626,North Africa,Africa
R0012,Ain Oussera,Djelfa,Algeria,28.033886,1.659626,North Africa,Africa
R0013,Algiers,Alger,Algeria,28.033886,1.659626,North Africa,Africa
R0014,Mostaganem,Mostaganem,Algeria,28.033886,1.659626,North Africa,Africa
R0015,Guelma,Guelma,Algeria,28.033886,1.659626,North Africa,Africa
R0016,Messaad,Djelfa,Algeria,28.033886,1.659626,North Africa,Africa
R0017,Constantine,Constantine,Algeria,28.033886,1.659626,North Africa,Africa
R0018,Bechar,Bechar,Algeria,28.033886,1.659626,North Africa,Africa
R0019,Oran,Oran,Algeria,28.033886,1.659626,North Africa,Africa
R0020,Baraki,Tipaza,Algeria,28.033886,1.659626,North Africa,Africa
R0021,Tlemcen,Tlemcen,Algeria,28.033886,1.659626,North Africa,Africa
R0022,Annaba,Annaba,Algeria,28.033886,1.659626,North Africa,Africa
R0023,Saida,Saida,Algeria,28.033886,1.659626,North Africa,Africa
R0024,Laghouat,Laghouat,Algeria,28.033886,1.659626,North Africa,Africa
R0025,Skikda,Skikda,Algeria,28.033886,1.659626,North Africa,Africa
R0026,Bejaia,Bejaia,Algeria,28.033886,1.659626,North Africa,Africa
R0027,Barika,Batna,Algeria,28.033886,1.659626,North Africa,Africa
R0028,Medea,Medea,Algeria,28.033886,1.659626,North Africa,Africa
R0029,Dar Chioukh,Djelfa,Algeria,28.033886,1.659626,North Africa,Africa
R0030,Sidi Bel Abbes,Sidi Bel Abbes,Algeria,28.033886,1.659626,North Africa,Africa
R0031,Luanda,Luanda,Angola,-11.202692,17.873887,Central Africa,Africa
R0032,Malanje,Malanje,Angola,-11.202692,17.873887,Central Africa,Africa
R0033,Huambo,Huambo,Angola,-11.202692,17.873887,Central Africa,Africa
R0034,Kuito,Bie,Angola,-11.202692,17.873887,Central Africa,Africa
R0035,Benguela,Benguela,Angola,-11.202692,17.873887,Central Africa,Africa
R0036,Namibe,Namibe,Angola,-11.202692,17.873887,Central Africa,Africa
R0037,Lubango,Huila,Angola,-11.202692,17.873887,Central Africa,Africa
R0038,Buenos Aires,Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0039,Mendoza,Mendoza,Argentina,-38.416097,-63.616672,South America,LATAM
R0040,Resistencia,Chaco,Argentina,-38.416097,-63.616672,South America,LATAM
